I;U
152,285814E-6;525,726122E-3
258,330805E-6;550,606776E-3
354,541733E-6;565,505956E-3
466,260623E-6;578,407769E-3
545,641619E-6;585,983561E-3
653,474137E-6;594,668846E-3
743,200890E-6;600,985280E-3
852,289810E-6;607,766853E-3
929,043985E-6;611,938515E-3
1,034101E-3;617,254132E-3
1,135519E-3;621,962802E-3
1,250800E-3;626,874407E-3
1,331150E-3;630,058082E-3
1,440351E-3;634,056927E-3
1,531817E-3;637,199673E-3
1,705566E-3;642,761606E-3
1,785543E-3;645,162426E-3
1,884707E-3;647,963518E-3
1,990548E-3;650,847062E-3
2,098440E-3;653,631194E-3
2,181106E-3;655,653798E-3
2,281836E-3;658,038194E-3
2,377699E-3;660,212802E-3
2,481258E-3;662,483660E-3
2,559181E-3;664,128216E-3
2,656854E-3;666,175151E-3
2,772379E-3;668,444575E-3
2,880801E-3;670,533679E-3
2,964693E-3;672,086228E-3
3,067337E-3;673,921393E-3
3,166235E-3;675,636360E-3
3,270082E-3;677,420304E-3
3,351613E-3;678,759250E-3
3,452364E-3;680,362805E-3
3,557497E-3;682,037704E-3
3,665300E-3;683,649735E-3
3,748924E-3;684,869189E-3
3,849523E-3;686,348048E-3
3,945599E-3;687,719762E-3
4,049991E-3;689,161980E-3
4,129820E-3;690,221480E-3
4,228145E-3;691,535729E-3
4,339953E-3;692,998530E-3
4,446915E-3;694,371167E-3
4,531409E-3;695,397797E-3
4,662713E-3;697,022257E-3
4,771386E-3;698,327746E-3
4,852023E-3;699,226911E-3
4,955037E-3;700,423962E-3
5,051596E-3;701,504829E-3
5,163144E-3;702,730868E-3
5,243366E-3;703,602780E-3
5,348084E-3;704,727897E-3
5,438112E-3;705,642420E-3
5,546345E-3;706,775191E-3
5,621840E-3;707,547479E-3
5,724036E-3;708,555396E-3
5,822855E-3;709,534222E-3
5,938813E-3;710,661649E-3
6,021508E-3;711,428113E-3
6,128951E-3;712,458036E-3
6,220556E-3;713,290627E-3
6,333064E-3;714,314904E-3
6,413063E-3;715,034697E-3
6,518996E-3;715,970747E-3
6,616526E-3;716,835719E-3
6,728251E-3;717,779259E-3
6,810951E-3;718,482345E-3
6,919096E-3;719,392289E-3
7,008294E-3;720,102645E-3
7,118405E-3;721,005227E-3
7,196687E-3;721,625395E-3
7,300361E-3;722,468634E-3
7,401881E-3;723,251184E-3
7,515814E-3;724,139426E-3
7,597809E-3;724,766117E-3
7,765181E-3;726,038581E-3
7,864326E-3;726,773536E-3
7,968137E-3;727,523726E-3
8,050418E-3;728,107038E-3
8,149160E-3;728,830609E-3
8,256350E-3;729,570832E-3
8,362563E-3;730,323659E-3
8,445250E-3;730,899063E-3
8,546361E-3;731,585444E-3
8,643553E-3;732,253511E-3
8,747527E-3;732,954936E-3
8,825765E-3;733,467432E-3
8,924313E-3;734,111019E-3
