;U;I
0;-4,721597;-2,0651519e-05
1;-5,257191;-0,00011466902
2;-5,390879;-0,000208961571
3;-5,465208;-0,000319969898
4;-5,497281;-0,00039932107
5;-5,52637;-0,000505989233
6;-5,543135;-0,000596398096
7;-5,557863;-0,000706353155
8;-5,565344;-0,000783204546
9;-5,572527;-0,000886126957
10;-5,576563;-0,000989011047
11;-5,57946;-0,001102534
12;-5,581207;-0,001183331
13;-5,583338;-0,0012933
14;-5,584846;-0,0013839
15;-5,587371;-0,001558262
16;-5,588548;-0,001638675
17;-5,589822;-0,001737987
18;-5,591256;-0,001843762
19;-5,592664;-0,001948898
20;-5,593724;-0,002031443
21;-5,594969;-0,002132526
22;-5,596087;-0,002230454
23;-5,597332;-0,002334197
24;-5,59833;-0,002412657
25;-5,599443;-0,002508514
26;-5,600696;-0,002625396
27;-5,601838;-0,002733622
28;-5,60291;-0,002819213
29;-5,603948;-0,002919269
30;-5,604931;-0,003019358
31;-5,605969;-0,003125393
32;-5,606901;-0,00320653
33;-5,607927;-0,003305033
34;-5,608845;-0,003412432
35;-5,609931;-0,003519107
36;-5,610696;-0,00360188
37;-5,611578;-0,003703985
38;-5,612505;-0,003800037
39;-5,613409;-0,003905846
40;-5,614161;-0,003984171
41;-5,61498;-0,004080031
42;-5,615934;-0,004193087
43;-5,61683;-0,004300944
44;-5,617553;-0,004385598
45;-5,618594;-0,004516387
46;-5,619412;-0,004627095
47;-5,620053;-0,004704494
48;-5,620915;-0,004810662
49;-5,621711;-0,004906803
50;-5,62254;-0,005018571
51;-5,62328;-0,00509717
52;-5,624;-0,005202592
53;-5,624868;-0,005292363
54;-5,625578;-0,005400449
55;-5,626212;-0,005478122
56;-5,62709;-0,005580792
57;-5,6278;-0,00567868
58;-5,628689;-0,005794115
59;-5,629225;-0,005874895
60;-5,629995;-0,00598403
61;-5,630652;-0,00607661
62;-5,631503;-0,00618862
63;-5,632027;-0,006266306
64;-5,632865;-0,006373059
65;-5,633594;-0,006471669
66;-5,634288;-0,006583729
67;-5,634873;-0,006664594
68;-5,635584;-0,006772862
69;-5,636321;-0,006863047
70;-5,637003;-0,006972785
71;-5,637617;-0,007050647
72;-5,638295;-0,007154859
73;-5,638983;-0,007255385
74;-5,639713;-0,007370687
75;-5,640284;-0,007451412
76;-5,641298;-0,007620087
77;-5,641886;-0,007719205
78;-5,642637;-0,007825048
79;-5,643139;-0,007906363
80;0,668397786;0,00014211164
81;0,689126826;0,000247513205
82;0,701387718;0,000343558344
83;0,712049714;0,00045700525
84;0,71797492;0,000536948373
85;0,724672203;0,000643946238
86;0,729408156;0,000731874348
87;0,734421003;0,000840805427
