I;U
142,111640E-6;668,397786E-3
247,513205E-6;689,126826E-3
343,558344E-6;701,387718E-3
457,005250E-6;712,049714E-3
536,948373E-6;717,974920E-3
643,946238E-6;724,672203E-3
731,874348E-6;729,408156E-3
840,805427E-6;734,421003E-3
918,782115E-6;737,565899E-3
1,022736E-3;741,401774E-3
1,123400E-3;744,743529E-3
1,237157E-3;748,173126E-3
1,319344E-3;750,391060E-3
1,427259E-3;753,129335E-3
1,519498E-3;755,279873E-3
1,690657E-3;759,002840E-3
1,771907E-3;760,569164E-3
1,871575E-3;762,434394E-3
1,978252E-3;764,288769E-3
2,084041E-3;766,055052E-3
2,166481E-3;767,327485E-3
2,267693E-3;768,850420E-3
2,362099E-3;770,217994E-3
2,465032E-3;771,626818E-3
2,544455E-3;772,656917E-3
2,642194E-3;773,903305E-3
2,758898E-3;775,329956E-3
2,866799E-3;776,579644E-3
2,952337E-3;777,513406E-3
3,053025E-3;778,614453E-3
3,152193E-3;779,624405E-3
3,255787E-3;780,662354E-3
3,338586E-3;781,461313E-3
3,437148E-3;782,402262E-3
3,544911E-3;783,382311E-3
3,650674E-3;784,317147E-3
3,731634E-3;785,001627E-3
3,833057E-3;785,856873E-3
3,930197E-3;786,624742E-3
4,034306E-3;787,465077E-3
4,114031E-3;788,064474E-3
4,211517E-3;788,787723E-3
4,324195E-3;789,604499E-3
4,432278E-3;790,372364E-3
4,514865E-3;790,955816E-3
4,646723E-3;791,853167E-3
4,755071E-3;792,560335E-3
4,833597E-3;793,053924E-3
4,937494E-3;793,712156E-3
5,033918E-3;794,300889E-3
5,146552E-3;794,973080E-3
5,225044E-3;795,436768E-3
5,331627E-3;796,043456E-3
5,421346E-3;796,552294E-3
5,528621E-3;797,151603E-3
5,605173E-3;797,542764E-3
5,709003E-3;798,113365E-3
5,808110E-3;798,629293E-3
5,921017E-3;799,211299E-3
6,003154E-3;799,617020E-3
6,113374E-3;800,168101E-3
6,204546E-3;800,613204E-3
6,316037E-3;801,155455E-3
6,396519E-3;801,524216E-3
6,501720E-3;802,015494E-3
6,598145E-3;802,456325E-3
6,712502E-3;802,967197E-3
6,793051E-3;803,336721E-3
6,899753E-3;803,788297E-3
6,989711E-3;804,171329E-3
7,099343E-3;804,637535E-3
7,177412E-3;804,968250E-3
7,280682E-3;805,383052E-3
7,381959E-3;805,796039E-3
7,497215E-3;806,257312E-3
7,577443E-3;806,569177E-3
7,748539E-3;807,246843E-3
7,847033E-3;807,617647E-3
7,952501E-3;808,013402E-3
8,032885E-3;808,298535E-3
8,132243E-3;808,663147E-3
8,238813E-3;809,040129E-3
8,345291E-3;809,418451E-3
8,427959E-3;809,699681E-3
8,528112E-3;810,047486E-3
8,624614E-3;810,366455E-3
8,728087E-3;810,716281E-3
8,807127E-3;810,960449E-3
8,902546E-3;811,285937E-3
9,020622E-3;811,665929E-3
9,129810E-3;812,016308E-3
9,212423E-3;812,268624E-3
9,317073E-3;812,602590E-3
9,415909E-3;812,900497E-3
9,521911E-3;813,215818E-3
9,602890E-3;813,456146E-3
9,701444E-3;813,755384E-3
9,809151E-3;814,067665E-3
9,914212E-3;814,383703E-3
9,999151E-3;814,610036E-3
10,099328E-3;814,904191E-3
10,197972E-3;815,181000E-3
10,300069E-3;815,450974E-3
10,381030E-3;815,674357E-3
10,478467E-3;815,947959E-3
10,589540E-3;816,242429E-3
10,699005E-3;816,535007E-3
10,823697E-3;816,869060E-3
10,912844E-3;817,095757E-3
11,023814E-3;817,390140E-3
11,102397E-3;817,585010E-3
11,206311E-3;817,847463E-3
11,302895E-3;818,089759E-3
11,415067E-3;818,366335E-3
11,495122E-3;818,549166E-3
11,600995E-3;818,813252E-3
11,689834E-3;819,018975E-3
11,798647E-3;819,292138E-3
11,876589E-3;819,459484E-3
11,977999E-3;819,696808E-3
12,074531E-3;819,924590E-3
12,188788E-3;820,192356E-3
12,270758E-3;820,375274E-3
12,380039E-3;820,617436E-3
12,470986E-3;820,815076E-3
12,582925E-3;821,066170E-3
12,662179E-3;821,219339E-3
12,767582E-3;821,459637E-3
12,865681E-3;821,670109E-3
12,978787E-3;821,909133E-3
13,058370E-3;822,068086E-3
13,165180E-3;822,294598E-3
13,256839E-3;822,469446E-3
13,366599E-3;822,694282E-3
13,442584E-3;822,845238E-3
13,546608E-3;823,055718E-3
13,647240E-3;823,248314E-3
13,827013E-3;823,617819E-3
13,910582E-3;823,778382E-3
14,013518E-3;823,977426E-3
14,112428E-3;824,149001E-3
14,216978E-3;824,354191E-3
14,295269E-3;824,491748E-3
14,395970E-3;824,674408E-3
14,501697E-3;824,871300E-3
14,608759E-3;825,057292E-3
14,691615E-3;825,206521E-3
14,790899E-3;825,374086E-3
14,888849E-3;825,551398E-3
14,991892E-3;825,726290E-3
15,070848E-3;825,863712E-3
15,168679E-3;826,034125E-3
15,283407E-3;826,228663E-3
15,391630E-3;826,414700E-3
15,475388E-3;826,551042E-3
15,578620E-3;826,716218E-3
15,677664E-3;826,879288E-3
15,784478E-3;827,057136E-3
15,864833E-3;827,170697E-3
15,963348E-3;827,336658E-3
16,072687E-3;827,512464E-3
16,178667E-3;827,681099E-3
16,260133E-3;827,799494E-3
16,362385E-3;827,958794E-3
16,458835E-3;828,110647E-3
16,562812E-3;828,280157E-3
16,640881E-3;828,391546E-3
16,781642E-3;828,611757E-3
16,895439E-3;828,786989E-3
16,977277E-3;828,899249E-3
17,084495E-3;829,059011E-3
17,175811E-3;829,192769E-3
17,285444E-3;829,349995E-3
17,364829E-3;829,455528E-3
17,467368E-3;829,602893E-3
17,563991E-3;829,729355E-3
17,675839E-3;829,895510E-3
17,755936E-3;830,002675E-3
17,862242E-3;830,157859E-3
17,952215E-3;830,266561E-3
18,060367E-3;830,495629E-3
18,134984E-3;830,568971E-3
18,238053E-3;830,710100E-3
18,343752E-3;830,845238E-3
18,459187E-3;831,005045E-3
18,540058E-3;831,090850E-3
18,649317E-3;831,248423E-3
18,741419E-3;831,366979E-3
18,853291E-3;831,516253E-3
18,933367E-3;831,601486E-3
19,039167E-3;831,745867E-3
19,136971E-3;831,872403E-3
19,251828E-3;832,011756E-3
19,331815E-3;832,114190E-3
19,439169E-3;832,244144E-3
19,530752E-3;832,364830E-3
19,640338E-3;832,497904E-3
19,718001E-3;832,589215E-3
19,882923E-3;832,812570E-3
19,996250E-3;832,958305E-3
