t;v
-0,00310800;0,18219550
-0,00182800;0,09277627
-0,00054800;0,09277627
0,00073200;0,00305185
0,00201200;-0,08667257
0,00329200;-0,08667257
0,00457200;-0,17639700
0,00585200;-0,17639700
0,00713200;-0,26581620
0,00841200;-0,26581620
0,00969200;-0,35554060
0,01097200;-0,35554060
0,01225200;-0,35554060
0,01353200;-0,44526510
0,01481200;-0,53498950
0,01609200;-0,53498950
0,01737200;-0,62471390
0,01865200;-0,71413310
0,01993200;-0,71413310
0,02121200;-0,80385760
0,02249200;-0,80385760
0,02377200;-0,80385760
0,02505200;-0,89358200
0,02633200;-0,89358200
0,02761200;-0,98330630
0,02889200;-1,07272600
0,03017200;-1,07272600
0,03145200;-1,07272600
0,03273200;-1,07272600
0,03401200;-1,16245000
0,03529200;-1,16245000
0,03657200;-1,25217400
0,03785200;-1,25217400
0,03913200;-1,25217400
0,04041200;-1,25217400
0,04169200;-1,34189900
0,04297200;-1,34189900
0,04425200;-1,43162300
0,04553200;-1,43162300
0,04681200;-1,43162300
0,04809200;-1,43162300
0,04937200;-1,43162300
0,05065200;-1,43162300
0,05193200;-1,43162300
0,05321200;-1,43162300
0,05449200;-1,43162300
0,05577200;-1,43162300
0,05705200;-1,43162300
0,05833200;-1,52104200
0,05961200;-1,43162300
0,06089200;-1,43162300
0,06217200;-1,43162300
0,06345200;-1,43162300
0,06473200;-1,43162300
0,06601200;-1,34189900
0,06729200;-1,34189900
0,06857200;-1,25217400
0,06985200;-1,34189900
0,07113200;-1,25217400
0,07241200;-1,25217400
0,07369200;-1,16245000
0,07497200;-1,16245000
0,07625200;-1,07272600
0,07753200;-1,07272600
0,07881200;-1,07272600
0,08009200;-0,98330630
0,08137200;-0,98330630
0,08265200;-0,89358200
0,08393200;-0,80385760
0,08521200;-0,80385760
0,08649200;-0,71413310
0,08777200;-0,71413310
0,08905200;-0,62471390
0,09033200;-0,62471390
0,09161200;-0,53498950
0,09289200;-0,44526510
0,09417200;-0,35554060
0,09545200;-0,35554060
0,09673200;-0,26581620
0,09801200;-0,26581620
0,09929200;-0,17639700
0,10057200;-0,08667257
0,10185200;0,00305185
0,10313200;0,00305185
0,10441200;0,09277627
0,10569200;0,18219550
0,10697200;0,27161470
0,10825200;0,36133920
0,10953200;0,36133920
0,11081200;0,45106360
0,11209200;0,45106360
0,11337200;0,63020720
0,11465200;0,63020720
0,11593200;0,71993170
0,11721200;0,71993170
0,11849200;0,89938040
0,11977200;0,89938040
0,12105200;0,98910490
0,12233200;0,98910490
0,12361200;1,07852400
0,12489200;1,16824900
0,12617200;1,25797300
0,12745200;1,25797300
0,12873200;1,25797300
0,13001200;1,34769700
0,13129200;1,43711700
0,13257200;1,43711700
0,13385200;1,52684100
0,13513200;1,52684100
0,13641200;1,61656500
0,13769200;1,61656500
0,13897200;1,70629000
0,14025200;1,70629000
0,14153200;1,79601400
0,14281200;1,70629000
0,14409200;1,79601400
0,14537200;1,79601400
0,14665200;1,79601400
0,14793200;1,88543400
0,14921200;1,88543400
0,15049200;1,88543400
0,15177200;1,88543400
0,15305200;1,88543400
0,15433200;1,88543400
0,15561200;1,88543400
0,15689200;1,88543400
0,15817200;1,88543400
0,15945200;1,88543400
0,16073200;1,88543400
0,16201200;1,88543400
0,16329200;1,88543400
0,16457200;1,79601400
0,16585200;1,79601400
0,16713200;1,79601400
0,16841200;1,70629000
0,16969200;1,70629000
0,17097200;1,70629000
0,17225200;1,61656500
0,17353200;1,61656500
0,17481200;1,52684100
0,17609200;1,43711700
0,17737200;1,43711700
0,17865200;1,43711700
0,17993200;1,34769700
0,18121200;1,34769700
0,18249200;1,25797300
0,18377200;1,16824900
0,18505200;1,07852400
0,18633200;1,07852400
0,18761200;0,98910490
0,18889200;0,89938040
0,19017200;0,80965610
0,19145200;0,71993170
0,19273200;0,63020720
0,19401200;0,63020720
0,19529200;0,54078800
0,19657200;0,45106360
0,19785200;0,36133920
0,19913200;0,36133920
0,20041200;0,18219550
0,20169200;0,09277627
0,20297200;0,00305185
0,20425200;-0,08667257
0,20553200;-0,17639700
0,20681200;-0,17639700
0,20809200;-0,26581620
0,20937200;-0,35554060
0,21065200;-0,44526510
0,21193200;-0,53498950
0,21321200;-0,53498950
0,21449200;-0,71413310
0,21577200;-0,80385760
0,21705200;-0,89358200
0,21833200;-0,98330630
0,21961200;-0,98330630
0,22089200;-1,07272600
0,22217200;-1,16245000
0,22345200;-1,25217400
0,22473200;-1,34189900
0,22601200;-1,43162300
0,22729200;-1,43162300
0,22857200;-1,52104200
0,22985200;-1,61076700
0,23113200;-1,70049100
0,23241200;-1,70049100
0,23369200;-1,79021600
0,23497200;-1,79021600
0,23625200;-1,87963500
0,23753200;-1,87963500
0,23881200;-1,96935900
0,24009200;-1,96935900
0,24137200;-2,05908400
0,24265200;-2,14880800
0,24393200;-2,14880800
0,24521200;-2,14880800
0,24649200;-2,23853300
0,24777200;-2,23853300
0,24905200;-2,23853300
0,25033200;-2,23853300
0,25161200;-2,23853300
0,25289200;-2,32795200
0,25417200;-2,32795200
0,25545200;-2,23853300
0,25673200;-2,32795200
0,25801200;-2,32795200
0,25929200;-2,32795200
0,26057200;-2,32795200
0,26185200;-2,23853300
0,26313200;-2,23853300
0,26441200;-2,23853300
0,26569200;-2,23853300
0,26697200;-2,14880800
0,26825200;-2,05908400
0,26953200;-2,05908400
0,27081200;-2,05908400
0,27209200;-1,96935900
0,27337200;-1,96935900
0,27465200;-1,87963500
0,27593200;-1,87963500
0,27721200;-1,79021600
0,27849200;-1,79021600
0,27977200;-1,70049100
0,28105200;-1,61076700
0,28233200;-1,52104200
0,28361200;-1,52104200
0,28489200;-1,34189900
0,28617200;-1,34189900
0,28745200;-1,25217400
0,28873200;-1,07272600
0,29001200;-1,07272600
0,29129200;-0,98330630
0,29257200;-0,89358200
0,29385200;-0,80385760
0,29513200;-0,71413310
0,29641200;-0,62471390
0,29769200;-0,53498950
0,29897200;-0,44526510
0,30025200;-0,35554060
0,30153200;-0,26581620
0,30281200;-0,17639700
0,30409200;-0,08667257
0,30537200;0,00305185
0,30665200;0,18219550
0,30793200;0,18219550
0,30921200;0,27161470
0,31049200;0,36133920
0,31177200;0,54078800
0,31305200;0,63020720
0,31433200;0,71993170
0,31561200;0,80965610
0,31689200;0,89938040
0,31817200;0,98910490
0,31945200;1,07852400
0,32073200;1,16824900
0,32201200;1,25797300
0,32329200;1,34769700
0,32457200;1,43711700
0,32585200;1,52684100
0,32713200;1,61656500
0,32841200;1,70629000
0,32969200;1,79601400
0,33097200;1,88543400
0,33225200;1,88543400
0,33353200;1,97515800
0,33481200;2,06488200
0,33609200;2,06488200
0,33737200;2,15460700
0,33865200;2,24402600
0,33993200;2,24402600
0,34121200;2,33375000
0,34249200;2,33375000
0,34377200;2,42347500
0,34505200;2,42347500
0,34633200;2,51319900
0,34761200;2,51319900
0,34889200;2,51319900
0,35017200;2,60292400
0,35145200;2,60292400
0,35273200;2,60292400
0,35401200;2,60292400
0,35529200;2,60292400
0,35657200;2,60292400
0,35785200;2,60292400
0,35913200;2,60292400
0,36041200;2,60292400
0,36169200;2,60292400
0,36297200;2,51319900
0,36425200;2,51319900
0,36553200;2,51319900
0,36681200;2,42347500
0,36809200;2,42347500
0,36937200;2,42347500
0,37065200;2,42347500
0,37193200;2,33375000
0,37321200;2,33375000
0,37449200;2,24402600
0,37577200;2,15460700
0,37705200;2,06488200
0,37833200;1,97515800
0,37961200;1,97515800
0,38089200;1,88543400
0,38217200;1,79601400
0,38345200;1,70629000
0,38473200;1,70629000
0,38601200;1,61656500
0,38729200;1,52684100
0,38857200;1,43711700
0,38985200;1,34769700
0,39113200;1,25797300
0,39241200;1,07852400
0,39369200;1,07852400
0,39497200;0,89938040
0,39625200;0,89938040
0,39753200;0,71993170
0,39881200;0,63020720
0,40009200;0,54078800
