t;v
-0,00306200;0,27161470
-0,00178200;0,18219550
-0,00050200;0,09277627
0,00077800;0,00305185
0,00205800;0,00305185
0,00333800;-0,08667257
0,00461800;-0,08667257
0,00589800;-0,17639700
0,00717800;-0,17639700
0,00845800;-0,26581620
0,00973800;-0,35554060
0,01101800;-0,44526510
0,01229800;-0,44526510
0,01357800;-0,53498950
0,01485800;-0,62471390
0,01613800;-0,62471390
0,01741800;-0,71413310
0,01869800;-0,80385760
0,01997800;-0,80385760
0,02125800;-0,89358200
0,02253800;-0,89358200
0,02381800;-0,98330630
0,02509800;-1,07272600
0,02637800;-1,07272600
0,02765800;-1,16245000
0,02893800;-1,16245000
0,03021800;-1,25217400
0,03149800;-1,25217400
0,03277800;-1,34189900
0,03405800;-1,43162300
0,03533800;-1,43162300
0,03661800;-1,43162300
0,03789800;-1,52104200
0,03917800;-1,52104200
0,04045800;-1,52104200
0,04173800;-1,61076700
0,04301800;-1,61076700
0,04429800;-1,61076700
0,04557800;-1,61076700
0,04685800;-1,70049100
0,04813800;-1,70049100
0,04941800;-1,70049100
0,05069800;-1,70049100
0,05197800;-1,79021600
0,05325800;-1,79021600
0,05453800;-1,79021600
0,05581800;-1,79021600
0,05709800;-1,70049100
0,05837800;-1,79021600
0,05965800;-1,79021600
0,06093800;-1,70049100
0,06221800;-1,70049100
0,06349800;-1,70049100
0,06477800;-1,70049100
0,06605800;-1,70049100
0,06733800;-1,61076700
0,06861800;-1,61076700
0,06989800;-1,61076700
0,07117800;-1,61076700
0,07245800;-1,52104200
0,07373800;-1,52104200
0,07501800;-1,43162300
0,07629800;-1,43162300
0,07757800;-1,34189900
0,07885800;-1,25217400
0,08013800;-1,25217400
0,08141800;-1,16245000
0,08269800;-1,07272600
0,08397800;-1,07272600
0,08525800;-0,98330630
0,08653800;-0,89358200
0,08781800;-0,89358200
0,08909800;-0,80385760
0,09037800;-0,71413310
0,09165800;-0,71413310
0,09293800;-0,62471390
0,09421800;-0,53498950
0,09549800;-0,44526510
0,09677800;-0,44526510
0,09805800;-0,35554060
0,09933800;-0,26581620
0,10061800;-0,17639700
0,10189800;-0,08667257
0,10317800;-0,08667257
0,10445800;0,09277627
0,10573800;0,18219550
0,10701800;0,27161470
0,10829800;0,36133920
0,10957800;0,45106360
0,11085800;0,54078800
0,11213800;0,54078800
0,11341800;0,63020720
0,11469800;0,71993170
0,11597800;0,80965610
0,11725800;0,89938040
0,11853800;0,98910490
0,11981800;1,07852400
0,12109800;1,07852400
0,12237800;1,16824900
0,12365800;1,25797300
0,12493800;1,34769700
0,12621800;1,43711700
0,12749800;1,52684100
0,12877800;1,61656500
0,13005800;1,61656500
0,13133800;1,70629000
0,13261800;1,79601400
0,13389800;1,79601400
0,13517800;1,79601400
0,13645800;1,88543400
0,13773800;1,97515800
0,13901800;1,97515800
0,14029800;2,06488200
0,14157800;2,06488200
0,14285800;2,06488200
0,14413800;2,15460700
0,14541800;2,15460700
0,14669800;2,15460700
0,14797800;2,24402600
0,14925800;2,24402600
0,15053800;2,24402600
0,15181800;2,24402600
0,15309800;2,24402600
0,15437800;2,24402600
0,15565800;2,33375000
0,15693800;2,33375000
0,15821800;2,24402600
0,15949800;2,33375000
0,16077800;2,24402600
0,16205800;2,24402600
0,16333800;2,15460700
0,16461800;2,15460700
0,16589800;2,15460700
0,16717800;2,06488200
0,16845800;2,06488200
0,16973800;2,06488200
0,17101800;2,06488200
0,17229800;1,97515800
0,17357800;1,88543400
0,17485800;1,88543400
0,17613800;1,88543400
0,17741800;1,79601400
0,17869800;1,70629000
0,17997800;1,61656500
0,18125800;1,61656500
0,18253800;1,52684100
0,18381800;1,43711700
0,18509800;1,34769700
0,18637800;1,25797300
0,18765800;1,16824900
0,18893800;1,07852400
0,19021800;0,98910490
0,19149800;0,89938040
0,19277800;0,80965610
0,19405800;0,80965610
0,19533800;0,63020720
0,19661800;0,54078800
0,19789800;0,45106360
0,19917800;0,36133920
0,20045800;0,27161470
0,20173800;0,18219550
0,20301800;0,09277627
0,20429800;-0,08667257
0,20557800;-0,08667257
0,20685800;-0,17639700
0,20813800;-0,35554060
0,20941800;-0,44526510
0,21069800;-0,53498950
0,21197800;-0,62471390
0,21325800;-0,80385760
0,21453800;-0,80385760
0,21581800;-0,98330630
0,21709800;-1,07272600
0,21837800;-1,07272600
0,21965800;-1,25217400
0,22093800;-1,34189900
0,22221800;-1,43162300
0,22349800;-1,52104200
0,22477800;-1,61076700
0,22605800;-1,70049100
0,22733800;-1,79021600
0,22861800;-1,87963500
0,22989800;-1,87963500
0,23117800;-1,96935900
0,23245800;-2,05908400
0,23373800;-2,14880800
0,23501800;-2,23853300
0,23629800;-2,23853300
0,23757800;-2,32795200
0,23885800;-2,41767600
0,24013800;-2,41767600
0,24141800;-2,50740100
0,24269800;-2,50740100
0,24397800;-2,50740100
0,24525800;-2,59712500
0,24653800;-2,59712500
0,24781800;-2,68685000
0,24909800;-2,68685000
0,25037800;-2,68685000
0,25165800;-2,68685000
0,25293800;-2,77626900
0,25421800;-2,77626900
0,25549800;-2,77626900
0,25677800;-2,68685000
0,25805800;-2,68685000
0,25933800;-2,77626900
0,26061800;-2,68685000
0,26189800;-2,68685000
0,26317800;-2,68685000
0,26445800;-2,59712500
0,26573800;-2,59712500
0,26701800;-2,59712500
0,26829800;-2,50740100
0,26957800;-2,50740100
0,27085800;-2,50740100
0,27213800;-2,41767600
0,27341800;-2,32795200
0,27469800;-2,23853300
0,27597800;-2,23853300
0,27725800;-2,14880800
0,27853800;-2,05908400
0,27981800;-1,96935900
0,28109800;-1,87963500
0,28237800;-1,79021600
0,28365800;-1,70049100
0,28493800;-1,61076700
0,28621800;-1,61076700
0,28749800;-1,52104200
0,28877800;-1,34189900
0,29005800;-1,25217400
0,29133800;-1,16245000
0,29261800;-1,07272600
0,29389800;-0,98330630
0,29517800;-0,80385760
0,29645800;-0,71413310
0,29773800;-0,62471390
0,29901800;-0,53498950
0,30029800;-0,35554060
0,30157800;-0,26581620
0,30285800;-0,17639700
0,30413800;-0,08667257
0,30541800;0,09277627
0,30669800;0,18219550
0,30797800;0,27161470
0,30925800;0,45106360
0,31053800;0,54078800
0,31181800;0,63020720
0,31309800;0,71993170
0,31437800;0,89938040
0,31565800;0,98910490
0,31693800;1,07852400
0,31821800;1,16824900
0,31949800;1,34769700
0,32077800;1,43711700
0,32205800;1,52684100
0,32333800;1,61656500
0,32461800;1,79601400
0,32589800;1,79601400
0,32717800;1,97515800
0,32845800;2,06488200
0,32973800;2,06488200
0,33101800;2,24402600
0,33229800;2,24402600
0,33357800;2,42347500
0,33485800;2,51319900
0,33613800;2,51319900
0,33741800;2,60292400
0,33869800;2,69234300
0,33997800;2,69234300
0,34125800;2,78206700
0,34253800;2,87179200
0,34381800;2,87179200
0,34509800;2,96151600
0,34637800;2,96151600
0,34765800;2,96151600
0,34893800;3,05124100
0,35021800;3,05124100
0,35149800;3,05124100
0,35277800;3,14066000
0,35405800;3,14066000
0,35533800;3,14066000
0,35661800;3,14066000
0,35789800;3,14066000
0,35917800;3,14066000
0,36045800;3,05124100
0,36173800;3,05124100
0,36301800;3,05124100
0,36429800;3,05124100
0,36557800;2,96151600
0,36685800;2,96151600
0,36813800;2,87179200
0,36941800;2,87179200
0,37069800;2,78206700
0,37197800;2,78206700
0,37325800;2,69234300
0,37453800;2,60292400
0,37581800;2,60292400
0,37709800;2,51319900
0,37837800;2,42347500
0,37965800;2,33375000
0,38093800;2,24402600
0,38221800;2,15460700
0,38349800;2,06488200
0,38477800;1,88543400
0,38605800;1,88543400
0,38733800;1,79601400
0,38861800;1,61656500
0,38989800;1,43711700
0,39117800;1,43711700
0,39245800;1,25797300
0,39373800;1,16824900
0,39501800;1,07852400
0,39629800;0,89938040
0,39757800;0,80965610
0,39885800;0,63020720
0,40013800;0,54078800
0,40141800;0,45106360
0,40269800;0,27161470
0,40397800;0,18219550
0,40525800;0,00305185
0,40653800;-0,08667257
0,40781800;-0,26581620
0,40909800;-0,35554060
0,41037800;-0,53498950
0,41165800;-0,62471390
0,41293800;-0,80385760
0,41421800;-0,89358200
0,41549800;-1,07272600
0,41677800;-1,07272600
0,41805800;-1,25217400
0,41933800;-1,43162300
0,42061800;-1,52104200
0,42189800;-1,61076700
0,42317800;-1,70049100
0,42445800;-1,87963500
0,42573800;-1,96935900
0,42701800;-2,05908400
0,42829800;-2,23853300
0,42957800;-2,32795200
0,43085800;-2,41767600
0,43213800;-2,50740100
0,43341800;-2,59712500
0,43469800;-2,68685000
0,43597800;-2,77626900
0,43725800;-2,86599300
0,43853800;-2,95571800
0,43981800;-2,95571800
0,44109800;-3,04544200
0,44237800;-3,13486100
0,44365800;-3,13486100
0,44493800;-3,22458600
0,44621800;-3,22458600
0,44749800;-3,31431000
0,44877800;-3,31431000
0,45005800;-3,31431000
0,45133800;-3,40403500
0,45261800;-3,40403500
0,45389800;-3,40403500
0,45517800;-3,40403500
0,45645800;-3,49375900
0,45773800;-3,49375900
0,45901800;-3,40403500
0,46029800;-3,40403500
0,46157800;-3,40403500
0,46285800;-3,31431000
0,46413800;-3,31431000
0,46541800;-3,31431000
0,46669800;-3,22458600
0,46797800;-3,22458600
0,46925800;-3,13486100
0,47053800;-3,13486100
0,47181800;-3,04544200
0,47309800;-2,95571800
0,47437800;-2,86599300
0,47565800;-2,86599300
0,47693800;-2,77626900
0,47821800;-2,68685000
0,47949800;-2,59712500
0,48077800;-2,50740100
0,48205800;-2,41767600
0,48333800;-2,32795200
0,48461800;-2,23853300
0,48589800;-2,05908400
0,48717800;-1,96935900
0,48845800;-1,79021600
0,48973800;-1,70049100
0,49101800;-1,61076700
0,49229800;-1,52104200
0,49357800;-1,34189900
0,49485800;-1,16245000
0,49613800;-1,07272600
0,49741800;-0,98330630
0,49869800;-0,80385760
0,49997800;-0,71413310
0,50125800;-0,53498950
0,50253800;-0,35554060
0,50381800;-0,26581620
0,50509800;-0,17639700
0,50637800;0,00305185
0,50765800;0,18219550
0,50893800;0,27161470
0,51021800;0,45106360
0,51149800;0,54078800
0,51277800;0,71993170
0,51405800;0,89938040
0,51533800;0,98910490
0,51661800;1,16824900
0,51789800;1,25797300
0,51917800;1,34769700
0,52045800;1,52684100
0,52173800;1,70629000
0,52301800;1,79601400
0,52429800;1,88543400
0,52557800;2,06488200
0,52685800;2,24402600
0,52813800;2,24402600
0,52941800;2,33375000
0,53069800;2,51319900
0,53197800;2,60292400
0,53325800;2,69234300
0,53453800;2,78206700
0,53581800;2,87179200
0,53709800;2,96151600
0,53837800;3,05124100
0,53965800;3,14066000
0,54093800;3,14066000
0,54221800;3,23038400
0,54349800;3,32010900
0,54477800;3,32010900
0,54605800;3,40983300
0,54733800;3,49925200
0,54861800;3,49925200
0,54989800;3,58897700
0,55117800;3,58897700
0,55245800;3,58897700
0,55373800;3,67870100
0,55501800;3,67870100
0,55629800;3,67870100
0,55757800;3,67870100
0,55885800;3,67870100
0,56013800;3,67870100
0,56141800;3,58897700
0,56269800;3,58897700
0,56397800;3,58897700
0,56525800;3,49925200
0,56653800;3,49925200
0,56781800;3,40983300
0,56909800;3,40983300
0,57037800;3,32010900
0,57165800;3,32010900
0,57293800;3,23038400
0,57421800;3,14066000
0,57549800;3,05124100
0,57677800;3,05124100
0,57805800;2,87179200
0,57933800;2,78206700
0,58061800;2,69234300
0,58189800;2,60292400
0,58317800;2,51319900
0,58445800;2,42347500
0,58573800;2,24402600
0,58701800;2,15460700
0,58829800;2,06488200
0,58957800;1,88543400
0,59085800;1,79601400
0,59213800;1,70629000
0,59341800;1,52684100
0,59469800;1,34769700
0,59597800;1,25797300
0,59725800;1,07852400
0,59853800;0,98910490
0,59981800;0,80965610
0,60109800;0,63020720
0,60237800;0,54078800
0,60365800;0,36133920
0,60493800;0,27161470
0,60621800;0,09277627
0,60749800;-0,08667257
0,60877800;-0,17639700
0,61005800;-0,35554060
0,61133800;-0,53498950
0,61261800;-0,71413310
0,61389800;-0,80385760
0,61517800;-0,98330630
0,61645800;-1,07272600
0,61773800;-1,25217400
0,61901800;-1,43162300
0,62029800;-1,52104200
0,62157800;-1,70049100
0,62285800;-1,79021600
0,62413800;-1,96935900
0,62541800;-2,05908400
0,62669800;-2,23853300
0,62797800;-2,32795200
0,62925800;-2,41767600
0,63053800;-2,59712500
0,63181800;-2,68685000
0,63309800;-2,77626900
0,63437800;-2,86599300
0,63565800;-2,95571800
0,63693800;-3,04544200
0,63821800;-3,13486100
0,63949800;-3,22458600
0,64077800;-3,31431000
0,64205800;-3,40403500
0,64333800;-3,49375900
0,64461800;-3,49375900
0,64589800;-3,58317800
0,64717800;-3,67290300
0,64845800;-3,67290300
0,64973800;-3,76262700
0,65101800;-3,76262700
0,65229800;-3,76262700
0,65357800;-3,85235100
0,65485800;-3,85235100
0,65613800;-3,85235100
0,65741800;-3,85235100
0,65869800;-3,85235100
0,65997800;-3,85235100
0,66125800;-3,85235100
0,66253800;-3,76262700
0,66381800;-3,76262700
0,66509800;-3,76262700
0,66637800;-3,67290300
0,66765800;-3,67290300
0,66893800;-3,58317800
0,67021800;-3,58317800
0,67149800;-3,49375900
0,67277800;-3,40403500
0,67405800;-3,31431000
0,67533800;-3,22458600
0,67661800;-3,22458600
0,67789800;-3,04544200
0,67917800;-2,95571800
0,68045800;-2,86599300
0,68173800;-2,77626900
0,68301800;-2,68685000
0,68429800;-2,59712500
0,68557800;-2,50740100
0,68685800;-2,32795200
0,68813800;-2,14880800
0,68941800;-2,05908400
0,69069800;-1,96935900
0,69197800;-1,79021600
0,69325800;-1,70049100
0,69453800;-1,52104200
0,69581800;-1,43162300
0,69709800;-1,25217400
0,69837800;-1,07272600
0,69965800;-0,98330630
0,70093800;-0,80385760
0,70221800;-0,71413310
0,70349800;-0,44526510
0,70477800;-0,35554060
0,70605800;-0,17639700
0,70733800;-0,08667257
0,70861800;0,09277627
0,70989800;0,27161470
0,71117800;0,36133920
0,71245800;0,54078800
0,71373800;0,71993170
0,71501800;0,89938040
0,71629800;1,07852400
0,71757800;1,16824900
0,71885800;1,34769700
0,72013800;1,52684100
0,72141800;1,61656500
0,72269800;1,79601400
0,72397800;1,88543400
