t;v
-0,00174700;0,45106360
-0,00110700;0,27161470
-0,00046700;0,18219550
0,00017300;-0,08667257
0,00081300;-0,17639700
0,00145300;-0,35554060
0,00209300;-0,53498950
0,00273300;-0,71413310
0,00337300;-0,89358200
0,00401300;-1,07272600
0,00465300;-1,25217400
0,00529300;-1,43162300
0,00593300;-1,61076700
0,00657300;-1,79021600
0,00721300;-1,96935900
0,00785300;-2,05908400
0,00849300;-2,23853300
0,00913300;-2,41767600
0,00977300;-2,59712500
0,01041300;-2,77626900
0,01105300;-2,95571800
0,01169300;-3,13486100
0,01233300;-3,22458600
0,01297300;-3,40403500
0,01361300;-3,58317800
0,01425300;-3,76262700
0,01489300;-3,85235100
0,01553300;-4,03149500
0,01617300;-4,21094400
0,01681300;-4,30066800
0,01745300;-4,47981200
0,01809300;-4,65926100
0,01873300;-4,74868000
0,01937300;-4,92812900
0,02001300;-5,10757800
0,02065300;-5,19699700
0,02129300;-5,37644600
0,02193300;-5,46617000
0,02257300;-5,64531400
0,02321300;-5,73503800
0,02385300;-5,91448700
0,02449300;-6,00390600
0,02513300;-6,09363100
0,02577300;-6,18335500
0,02641300;-6,36280400
0,02705300;-6,54194800
0,02769300;-6,54194800
0,02833300;-6,72139600
0,02897300;-6,81081600
0,02961300;-6,90054000
0,03025300;-6,99026400
0,03089300;-7,07998900
0,03153300;-7,25913300
0,03217300;-7,34885700
0,03281300;-7,43858100
0,03345300;-7,43858100
0,03409300;-7,52830600
0,03473300;-7,61772500
0,03537300;-7,70744900
0,03601300;-7,79717400
0,03665300;-7,88689900
0,03729300;-7,97662300
0,03793300;-8,06604200
0,03857300;-8,06604200
0,03921300;-8,24549100
0,03985300;-8,24549100
0,04049300;-8,24549100
0,04113300;-8,33521600
0,04177300;-8,42494000
0,04241300;-8,42494000
0,04305300;-8,51435900
0,04369300;-8,51435900
0,04433300;-8,60408300
0,04497300;-8,60408300
0,04561300;-8,60408300
0,04625300;-8,69380800
0,04689300;-8,69380800
0,04753300;-8,69380800
0,04817300;-8,78353200
0,04881300;-8,78353200
0,04945300;-8,78353200
0,05009300;-8,78353200
0,05073300;-8,78353200
0,05137300;-8,78353200
