t;v
-0,00358900;0,80965610
-0,00230900;0,54078800
-0,00102900;0,27161470
0,00025100;0,00305185
0,00153100;-0,26581620
0,00281100;-0,53498950
0,00409100;-0,80385760
0,00537100;-1,07272600
0,00665100;-1,34189900
0,00793100;-1,61076700
0,00921100;-1,79021600
0,01049100;-2,05908400
0,01177100;-2,32795200
0,01305100;-2,59712500
0,01433100;-2,77626900
0,01561100;-3,04544200
0,01689100;-3,22458600
0,01817100;-3,49375900
0,01945100;-3,76262700
0,02073100;-3,94177100
0,02201100;-4,12122000
0,02329100;-4,39008800
0,02457100;-4,56953600
0,02585100;-4,74868000
0,02713100;-4,92812900
0,02841100;-5,10757800
0,02969100;-5,37644600
0,03097100;-5,46617000
0,03225100;-5,64531400
0,03353100;-5,82476300
0,03481100;-5,91448700
0,03609100;-6,09363100
0,03737100;-6,18335500
0,03865100;-6,27307900
0,03993100;-6,45222300
0,04121100;-6,54194800
0,04249100;-6,63167200
0,04377100;-6,72139600
0,04505100;-6,81081600
0,04633100;-6,90054000
0,04761100;-6,90054000
0,04889100;-6,99026400
0,05017100;-7,07998900
0,05145100;-7,07998900
0,05273100;-7,07998900
0,05401100;-7,16971300
0,05529100;-7,16971300
0,05657100;-7,16971300
0,05785100;-7,16971300
0,05913100;-7,16971300
0,06041100;-7,07998900
0,06169100;-6,99026400
0,06297100;-6,99026400
0,06425100;-6,90054000
0,06553100;-6,90054000
0,06681100;-6,81081600
0,06809100;-6,72139600
0,06937100;-6,63167200
0,07065100;-6,63167200
0,07193100;-6,45222300
0,07321100;-6,36280400
0,07449100;-6,27307900
0,07577100;-6,09363100
0,07705100;-6,00390600
0,07833100;-5,82476300
0,07961100;-5,73503800
0,08089100;-5,55589500
0,08217100;-5,37644600
0,08345100;-5,19699700
0,08473100;-5,01785300
0,08601100;-4,83840500
0,08729100;-4,65926100
0,08857100;-4,47981200
0,08985100;-4,30066800
0,09113100;-4,03149500
0,09241100;-3,85235100
0,09369100;-3,67290300
0,09497100;-3,40403500
0,09625100;-3,22458600
0,09753100;-2,95571800
0,09881100;-2,77626900
0,10009100;-2,50740100
0,10137100;-2,23853300
0,10265100;-1,96935900
0,10393100;-1,79021600
0,10521100;-1,52104200
0,10649100;-1,34189900
0,10777100;-1,07272600
0,10905100;-0,80385760
0,11033100;-0,53498950
0,11161100;-0,26581620
0,11289100;-0,08667257
0,11417100;0,18219550
0,11545100;0,45106360
0,11673100;0,63020720
0,11801100;0,89938040
0,11929100;1,16824900
0,12057100;1,43711700
0,12185100;1,70629000
0,12313100;1,88543400
0,12441100;2,15460700
0,12569100;2,42347500
0,12697100;2,60292400
0,12825100;2,78206700
0,12953100;3,05124100
0,13081100;3,23038400
0,13209100;3,49925200
0,13337100;3,67870100
0,13465100;3,85815000
0,13593100;4,03729300
0,13721100;4,30616200
0,13849100;4,48561000
0,13977100;4,66506000
0,14105100;4,84420300
0,14233100;5,02365200
0,14361100;5,11307100
0,14489100;5,29252000
0,14617100;5,47196900
0,14745100;5,65111300
0,14873100;5,74083700
0,15001100;5,92028600
0,15129100;6,00970500
0,15257100;6,09942900
0,15385100;6,18915400
0,15513100;6,27887800
0,15641100;6,36829800
0,15769100;6,45802200
0,15897100;6,54774600
0,16025100;6,63747100
0,16153100;6,63747100
0,16281100;6,72719500
0,16409100;6,72719500
0,16537100;6,81661400
0,16665100;6,72719500
0,16793100;6,81661400
0,16921100;6,81661400
0,17049100;6,81661400
0,17177100;6,81661400
0,17305100;6,72719500
0,17433100;6,72719500
0,17561100;6,72719500
0,17689100;6,63747100
0,17817100;6,54774600
0,17945100;6,45802200
0,18073100;6,45802200
0,18201100;6,36829800
0,18329100;6,27887800
0,18457100;6,18915400
0,18585100;6,09942900
0,18713100;5,92028600
0,18841100;5,83056100
0,18969100;5,74083700
0,19097100;5,65111300
0,19225100;5,47196900
0,19353100;5,29252000
0,19481100;5,11307100
0,19609100;5,02365200
0,19737100;4,84420300
0,19865100;4,66506000
0,19993100;4,48561000
0,20121100;4,21674300
0,20249100;4,12701800
0,20377100;3,94756900
0,20505100;3,67870100
0,20633100;3,49925200
0,20761100;3,23038400
0,20889100;3,05124100
0,21017100;2,87179200
0,21145100;2,60292400
0,21273100;2,51319900
0,21401100;2,15460700
0,21529100;1,97515800
0,21657100;1,70629000
0,21785100;1,52684100
0,21913100;1,25797300
0,22041100;0,98910490
0,22169100;0,80965610
0,22297100;0,54078800
0,22425100;0,36133920
0,22553100;0,09277627
0,22681100;-0,17639700
0,22809100;-0,35554060
0,22937100;-0,62471390
0,23065100;-0,80385760
0,23193100;-1,07272600
0,23321100;-1,34189900
0,23449100;-1,52104200
0,23577100;-1,79021600
0,23705100;-1,96935900
0,23833100;-2,23853300
0,23961100;-2,50740100
0,24089100;-2,68685000
0,24217100;-2,95571800
0,24345100;-3,13486100
