t;v
-0,00275600;0,71993170
-0,00147600;0,36133920
-0,00019600;0,09277627
0,00108400;-0,26581620
0,00236400;-0,62471390
0,00364400;-0,98330630
0,00492400;-1,34189900
0,00620400;-1,61076700
0,00748400;-1,96935900
0,00876400;-2,32795200
0,01004400;-2,59712500
0,01132400;-2,95571800
0,01260400;-3,31431000
0,01388400;-3,58317800
0,01516400;-3,94177100
0,01644400;-4,30066800
0,01772400;-4,56953600
0,01900400;-4,83840500
0,02028400;-5,10757800
0,02156400;-5,37644600
0,02284400;-5,64531400
0,02412400;-5,82476300
0,02540400;-6,09363100
0,02668400;-6,36280400
0,02796400;-6,63167200
0,02924400;-6,81081600
0,03052400;-7,07998900
0,03180400;-7,25913300
0,03308400;-7,43858100
0,03436400;-7,61772500
0,03564400;-7,79717400
0,03692400;-7,97662300
0,03820400;-8,06604200
0,03948400;-8,15576600
0,04076400;-8,33521600
0,04204400;-8,42494000
0,04332400;-8,51435900
0,04460400;-8,60408300
0,04588400;-8,69380800
0,04716400;-8,69380800
0,04844400;-8,78353200
0,04972400;-8,78353200
0,05100400;-8,78353200
0,05228400;-8,78353200
0,05356400;-8,78353200
0,05484400;-8,78353200
0,05612400;-8,69380800
0,05740400;-8,69380800
0,05868400;-8,60408300
0,05996400;-8,51435900
0,06124400;-8,42494000
0,06252400;-8,33521600
0,06380400;-8,24549100
0,06508400;-8,15576600
0,06636400;-8,06604200
0,06764400;-7,79717400
0,06892400;-7,70744900
0,07020400;-7,52830600
0,07148400;-7,34885700
0,07276400;-7,16971300
0,07404400;-6,99026400
0,07532400;-6,81081600
0,07660400;-6,54194800
0,07788400;-6,36280400
0,07916400;-6,09363100
0,08044400;-5,91448700
0,08172400;-5,64531400
0,08300400;-5,37644600
0,08428400;-5,10757800
0,08556400;-4,83840500
0,08684400;-4,47981200
0,08812400;-4,21094400
0,08940400;-3,94177100
0,09068400;-3,67290300
0,09196400;-3,31431000
0,09324400;-3,04544200
0,09452400;-2,68685000
0,09580400;-2,41767600
0,09708400;-2,05908400
0,09836400;-1,79021600
0,09964400;-1,43162300
0,10092400;-1,07272600
0,10220400;-0,80385760
0,10348400;-0,44526510
0,10476400;-0,17639700
0,10604400;0,18219550
0,10732400;0,45106360
0,10860400;0,89938040
0,10988400;1,16824900
0,11116400;1,52684100
0,11244400;1,79601400
0,11372400;2,06488200
0,11500400;2,42347500
0,11628400;2,69234300
0,11756400;3,05124100
0,11884400;3,32010900
0,12012400;3,58897700
0,12140400;3,85815000
0,12268400;4,21674300
0,12396400;4,48561000
0,12524400;4,75447800
0,12652400;4,93392800
0,12780400;5,20279600
0,12908400;5,47196900
0,13036400;5,74083700
0,13164400;5,92028600
0,13292400;6,09942900
0,13420400;6,36829800
0,13548400;6,54774600
0,13676400;6,72719500
0,13804400;6,90633900
0,13932400;7,08578700
0,14060400;7,26493100
0,14188400;7,44438000
0,14316400;7,53410400
0,14444400;7,71324800
0,14572400;7,80297200
0,14700400;7,89269700
0,14828400;7,98211600
0,14956400;8,07184000
0,15084400;8,16156500
