t;v
-0,00375800;0,18219550
-0,00247800;0,09277627
-0,00119800;0,09277627
0,00008200;0,00305185
0,00136200;0,00305185
0,00264200;-0,08667257
0,00392200;-0,17639700
0,00520200;-0,17639700
0,00648200;-0,26581620
0,00776200;-0,26581620
0,00904200;-0,35554060
0,01032200;-0,35554060
0,01160200;-0,44526510
0,01288200;-0,44526510
0,01416200;-0,53498950
0,01544200;-0,62471390
0,01672200;-0,62471390
0,01800200;-0,71413310
0,01928200;-0,71413310
0,02056200;-0,80385760
0,02184200;-0,80385760
0,02312200;-0,89358200
0,02440200;-0,89358200
0,02568200;-0,98330630
0,02696200;-0,98330630
0,02824200;-1,07272600
0,02952200;-1,07272600
0,03080200;-1,07272600
0,03208200;-1,07272600
0,03336200;-1,16245000
0,03464200;-1,16245000
0,03592200;-1,25217400
0,03720200;-1,25217400
0,03848200;-1,25217400
0,03976200;-1,25217400
0,04104200;-1,25217400
0,04232200;-1,34189900
0,04360200;-1,34189900
0,04488200;-1,34189900
0,04616200;-1,34189900
0,04744200;-1,34189900
0,04872200;-1,34189900
0,05000200;-1,34189900
0,05128200;-1,34189900
0,05256200;-1,34189900
0,05384200;-1,34189900
0,05512200;-1,25217400
0,05640200;-1,25217400
0,05768200;-1,25217400
0,05896200;-1,25217400
0,06024200;-1,25217400
0,06152200;-1,16245000
0,06280200;-1,16245000
0,06408200;-1,16245000
0,06536200;-1,07272600
0,06664200;-1,07272600
0,06792200;-1,07272600
0,06920200;-0,98330630
0,07048200;-0,89358200
0,07176200;-0,89358200
0,07304200;-0,89358200
0,07432200;-0,80385760
0,07560200;-0,71413310
0,07688200;-0,71413310
0,07816200;-0,62471390
0,07944200;-0,62471390
0,08072200;-0,44526510
0,08200200;-0,44526510
0,08328200;-0,35554060
0,08456200;-0,35554060
0,08584200;-0,26581620
0,08712200;-0,17639700
0,08840200;-0,08667257
0,08968200;-0,08667257
0,09096200;0,00305185
0,09224200;0,09277627
0,09352200;0,18219550
0,09480200;0,27161470
0,09608200;0,36133920
0,09736200;0,36133920
0,09864200;0,45106360
0,09992200;0,54078800
0,10120200;0,54078800
0,10248200;0,63020720
0,10376200;0,71993170
0,10504200;0,80965610
0,10632200;0,89938040
0,10760200;0,98910490
0,10888200;1,07852400
0,11016200;1,07852400
0,11144200;1,16824900
0,11272200;1,25797300
0,11400200;1,34769700
0,11528200;1,34769700
0,11656200;1,43711700
0,11784200;1,52684100
0,11912200;1,52684100
0,12040200;1,61656500
0,12168200;1,70629000
0,12296200;1,70629000
0,12424200;1,79601400
0,12552200;1,79601400
0,12680200;1,88543400
0,12808200;1,88543400
0,12936200;1,97515800
0,13064200;1,97515800
0,13192200;2,06488200
0,13320200;2,06488200
0,13448200;2,06488200
0,13576200;2,15460700
0,13704200;2,15460700
0,13832200;2,15460700
0,13960200;2,15460700
0,14088200;2,24402600
0,14216200;2,24402600
0,14344200;2,24402600
0,14472200;2,24402600
0,14600200;2,24402600
0,14728200;2,24402600
0,14856200;2,15460700
0,14984200;2,15460700
0,15112200;2,15460700
0,15240200;2,15460700
0,15368200;2,15460700
0,15496200;2,15460700
0,15624200;2,06488200
0,15752200;2,06488200
0,15880200;2,06488200
0,16008200;1,97515800
0,16136200;1,97515800
0,16264200;1,88543400
0,16392200;1,88543400
0,16520200;1,79601400
0,16648200;1,79601400
0,16776200;1,70629000
0,16904200;1,61656500
0,17032200;1,61656500
0,17160200;1,52684100
0,17288200;1,43711700
0,17416200;1,34769700
0,17544200;1,25797300
0,17672200;1,16824900
0,17800200;1,07852400
0,17928200;1,07852400
0,18056200;0,89938040
0,18184200;0,89938040
0,18312200;0,80965610
0,18440200;0,63020720
0,18568200;0,54078800
