t;v
-0,00340400;1,43711700
-0,00212400;0,89938040
-0,00084400;0,36133920
0,00043600;-0,08667257
0,00171600;-0,62471390
0,00299600;-1,07272600
0,00427600;-1,61076700
0,00555600;-2,14880800
0,00683600;-2,59712500
0,00811600;-3,04544200
0,00939600;-3,58317800
0,01067600;-4,03149500
0,01195600;-4,47981200
0,01323600;-4,83840500
0,01451600;-5,28672100
0,01579600;-5,64531400
0,01707600;-6,00390600
0,01835600;-6,45222300
0,01963600;-6,81081600
0,02091600;-6,99026400
0,02219600;-7,25913300
0,02347600;-7,52830600
0,02475600;-7,70744900
0,02603600;-7,97662300
0,02731600;-8,06604200
0,02859600;-8,24549100
0,02987600;-8,33521600
0,03115600;-8,42494000
0,03243600;-8,51435900
0,03371600;-8,51435900
0,03499600;-8,51435900
0,03627600;-8,42494000
0,03755600;-8,33521600
0,03883600;-8,24549100
0,04011600;-8,15576600
0,04139600;-7,97662300
0,04267600;-7,70744900
0,04395600;-7,52830600
0,04523600;-7,34885700
0,04651600;-7,07998900
0,04779600;-6,72139600
0,04907600;-6,45222300
0,05035600;-6,09363100
0,05163600;-5,73503800
0,05291600;-5,37644600
0,05419600;-4,92812900
0,05547600;-4,56953600
0,05675600;-4,12122000
0,05803600;-3,67290300
0,05931600;-3,22458600
0,06059600;-2,77626900
0,06187600;-2,23853300
0,06315600;-1,79021600
0,06443600;-1,34189900
0,06571600;-0,80385760
0,06699600;-0,26581620
0,06827600;0,18219550
0,06955600;0,71993170
0,07083600;1,16824900
0,07211600;1,61656500
0,07339600;2,06488200
0,07467600;2,60292400
0,07595600;3,05124100
0,07723600;3,49925200
0,07851600;3,94756900
0,07979600;4,39588600
0,08107600;4,75447800
0,08235600;5,20279600
0,08363600;5,56138800
0,08491600;5,83056100
0,08619600;6,18915400
0,08747600;6,45802200
0,08875600;6,81661400
0,09003600;6,99606300
0,09131600;7,26493100
0,09259600;7,53410400
0,09387600;7,62352400
0,09515600;7,80297200
0,09643600;7,89269700
0,09771600;7,98211600
0,09899600;8,07184000
0,10027600;8,07184000
0,10155600;8,07184000
0,10283600;8,16156500
0,10411600;8,07184000
0,10539600;7,98211600
0,10667600;7,80297200
0,10795600;7,71324800
0,10923600;7,53410400
0,11051600;7,35465600
0,11179600;7,17520700
0,11307600;6,90633900
0,11435600;6,63747100
0,11563600;6,36829800
0,11691600;6,09942900
0,11819600;5,74083700
0,11947600;5,38224400
0,12075600;5,02365200
0,12203600;4,66506000
0,12331600;4,21674300
0,12459600;3,85815000
0,12587600;3,40983300
0,12715600;2,96151600
0,12843600;2,51319900
0,12971600;2,06488200
0,13099600;1,70629000
0,13227600;1,16824900
0,13355600;0,63020720
0,13483600;0,18219550
0,13611600;-0,26581620
0,13739600;-0,80385760
0,13867600;-1,25217400
0,13995600;-1,70049100
0,14123600;-2,14880800
0,14251600;-2,59712500
0,14379600;-3,04544200
0,14507600;-3,49375900
0,14635600;-3,85235100
0,14763600;-4,30066800
0,14891600;-4,74868000
0,15019600;-5,10757800
0,15147600;-5,37644600
0,15275600;-5,73503800
0,15403600;-6,00390600
0,15531600;-6,27307900
0,15659600;-6,54194800
0,15787600;-6,81081600
0,15915600;-6,99026400
0,16043600;-7,16971300
0,16171600;-7,34885700
0,16299600;-7,52830600
0,16427600;-7,61772500
0,16555600;-7,70744900
0,16683600;-7,70744900
0,16811600;-7,79717400
0,16939600;-7,79717400
0,17067600;-7,79717400
0,17195600;-7,70744900
0,17323600;-7,61772500
0,17451600;-7,52830600
0,17579600;-7,43858100
0,17707600;-7,25913300
0,17835600;-7,07998900
0,17963600;-6,81081600
0,18091600;-6,63167200
0,18219600;-6,36280400
0,18347600;-6,09363100
0,18475600;-5,82476300
0,18603600;-5,46617000
0,18731600;-5,10757800
0,18859600;-4,74868000
0,18987600;-4,39008800
0,19115600;-4,03149500
0,19243600;-3,58317800
0,19371600;-3,13486100
0,19499600;-2,77626900
0,19627600;-2,32795200
0,19755600;-1,87963500
0,19883600;-1,52104200
0,20011600;-0,98330630
0,20139600;-0,53498950
0,20267600;-0,08667257
0,20395600;0,36133920
0,20523600;0,89938040
0,20651600;1,25797300
0,20779600;1,70629000
0,20907600;2,15460700
0,21035600;2,60292400
0,21163600;3,05124100
0,21291600;3,40983300
0,21419600;3,85815000
0,21547600;4,21674300
0,21675600;4,57533500
0,21803600;4,84420300
0,21931600;5,20279600
0,22059600;5,56138800
0,22187600;5,83056100
0,22315600;6,09942900
0,22443600;6,36829800
0,22571600;6,54774600
0,22699600;6,81661400
0,22827600;6,90633900
0,22955600;7,08578700
0,23083600;7,26493100
0,23211600;7,35465600
0,23339600;7,35465600
0,23467600;7,44438000
0,23595600;7,44438000
0,23723600;7,44438000
0,23851600;7,44438000
0,23979600;7,35465600
0,24107600;7,35465600
0,24235600;7,17520700
0,24363600;7,08578700
0,24491600;6,90633900
0,24619600;6,72719500
0,24747600;6,45802200
0,24875600;6,27887800
0,25003600;6,00970500
0,25131600;5,74083700
0,25259600;5,47196900
0,25387600;5,20279600
0,25515600;4,84420300
0,25643600;4,48561000
0,25771600;4,12701800
0,25899600;3,76842500
0,26027600;3,32010900
0,26155600;2,96151600
0,26283600;2,51319900
0,26411600;2,15460700
0,26539600;1,70629000
0,26667600;1,25797300
0,26795600;0,80965610
0,26923600;0,36133920
0,27051600;0,00305185
0,27179600;-0,44526510
0,27307600;-0,89358200
0,27435600;-1,34189900
0,27563600;-1,79021600
0,27691600;-2,23853300
0,27819600;-2,50740100
0,27947600;-2,95571800
0,28075600;-3,40403500
0,28203600;-3,76262700
0,28331600;-4,12122000
0,28459600;-4,47981200
0,28587600;-4,74868000
0,28715600;-5,10757800
0,28843600;-5,37644600
0,28971600;-5,64531400
0,29099600;-5,91448700
0,29227600;-6,09363100
0,29355600;-6,36280400
0,29483600;-6,54194800
0,29611600;-6,72139600
0,29739600;-6,81081600
0,29867600;-6,99026400
0,29995600;-7,07998900
0,30123600;-7,16971300
0,30251600;-7,16971300
0,30379600;-7,16971300
0,30507600;-7,16971300
0,30635600;-7,16971300
0,30763600;-7,07998900
0,30891600;-6,99026400
0,31019600;-6,81081600
0,31147600;-6,72139600
0,31275600;-6,54194800
0,31403600;-6,36280400
0,31531600;-6,18335500
0,31659600;-6,00390600
0,31787600;-5,73503800
0,31915600;-5,46617000
0,32043600;-5,19699700
0,32171600;-4,83840500
0,32299600;-4,56953600
0,32427600;-4,21094400
0,32555600;-3,85235100
0,32683600;-3,58317800
0,32811600;-3,13486100
0,32939600;-2,77626900
0,33067600;-2,41767600
0,33195600;-1,96935900
0,33323600;-1,52104200
0,33451600;-1,16245000
0,33579600;-0,71413310
0,33707600;-0,26581620
0,33835600;0,09277627
0,33963600;0,54078800
0,34091600;0,98910490
0,34219600;1,34769700
0,34347600;1,79601400
0,34475600;2,15460700
0,34603600;2,60292400
0,34731600;2,87179200
0,34859600;3,32010900
0,34987600;3,67870100
0,35115600;3,94756900
0,35243600;4,30616200
0,35371600;4,66506000
0,35499600;4,93392800
0,35627600;5,20279600
0,35755600;5,47196900
0,35883600;5,74083700
0,36011600;5,92028600
0,36139600;6,18915400
0,36267600;6,27887800
0,36395600;6,36829800
0,36523600;6,63747100
0,36651600;6,63747100
0,36779600;6,72719500
0,36907600;6,81661400
0,37035600;6,90633900
0,37163600;6,90633900
0,37291600;6,81661400
0,37419600;6,81661400
0,37547600;6,81661400
0,37675600;6,63747100
0,37803600;6,54774600
0,37931600;6,36829800
0,38059600;6,27887800
0,38187600;6,09942900
0,38315600;5,92028600
0,38443600;5,65111300
0,38571600;5,47196900
0,38699600;5,20279600
0,38827600;4,93392800
0,38955600;4,57533500
0,39083600;4,21674300
0,39211600;3,94756900
0,39339600;3,67870100
0,39467600;3,23038400
0,39595600;2,87179200
0,39723600;2,60292400
0,39851600;2,15460700
0,39979600;1,79601400
0,40107600;1,34769700
0,40235600;0,98910490
0,40363600;0,54078800
0,40491600;0,18219550
0,40619600;-0,17639700
0,40747600;-0,62471390
0,40875600;-0,98330630
0,41003600;-1,43162300
0,41131600;-1,79021600
0,41259600;-2,14880800
0,41387600;-2,50740100
0,41515600;-2,86599300
0,41643600;-3,22458600
0,41771600;-3,58317800
0,41899600;-3,94177100
0,42027600;-4,21094400
0,42155600;-4,56953600
0,42283600;-4,83840500
0,42411600;-5,10757800
0,42539600;-5,28672100
0,42667600;-5,55589500
0,42795600;-5,73503800
0,42923600;-5,91448700
0,43051600;-6,09363100
0,43179600;-6,18335500
0,43307600;-6,36280400
0,43435600;-6,45222300
0,43563600;-6,54194800
0,43691600;-6,54194800
0,43819600;-6,54194800
0,43947600;-6,54194800
0,44075600;-6,54194800
0,44203600;-6,54194800
0,44331600;-6,54194800
0,44459600;-6,36280400
0,44587600;-6,18335500
0,44715600;-6,09363100
0,44843600;-6,00390600
0,44971600;-5,82476300
0,45099600;-5,64531400
0,45227600;-5,37644600
0,45355600;-5,19699700
0,45483600;-5,10757800
0,45611600;-4,65926100
0,45739600;-4,39008800
0,45867600;-4,03149500
0,45995600;-3,76262700
0,46123600;-3,40403500
0,46251600;-3,04544200
0,46379600;-2,77626900
0,46507600;-2,41767600
0,46635600;-1,96935900
0,46763600;-1,61076700
0,46891600;-1,25217400
0,47019600;-0,89358200
0,47147600;-0,44526510
0,47275600;-0,08667257
0,47403600;0,27161470
0,47531600;0,63020720
0,47659600;1,07852400
0,47787600;1,43711700
0,47915600;1,79601400
0,48043600;2,15460700
0,48171600;2,51319900
0,48299600;2,87179200
0,48427600;3,23038400
0,48555600;3,49925200
0,48683600;3,85815000
0,48811600;4,12701800
0,48939600;4,39588600
0,49067600;4,66506000
0,49195600;4,93392800
0,49323600;5,11307100
0,49451600;5,38224400
0,49579600;5,56138800
0,49707600;5,74083700
0,49835600;5,92028600
0,49963600;6,00970500
0,50091600;6,09942900
0,50219600;6,18915400
0,50347600;6,18915400
0,50475600;6,27887800
0,50603600;6,27887800
0,50731600;6,27887800
0,50859600;6,27887800
0,50987600;6,27887800
0,51115600;6,18915400
0,51243600;6,09942900
0,51371600;6,00970500
0,51499600;5,83056100
0,51627600;5,65111300
0,51755600;5,47196900
0,51883600;5,29252000
0,52011600;5,11307100
0,52139600;4,84420300
0,52267600;4,66506000
0,52395600;4,30616200
0,52523600;4,03729300
0,52651600;3,76842500
0,52779600;3,49925200
0,52907600;3,23038400
0,53035600;2,96151600
0,53163600;2,51319900
0,53291600;2,15460700
0,53419600;1,79601400
0,53547600;1,43711700
0,53675600;1,07852400
0,53803600;0,71993170
0,53931600;0,36133920
0,54059600;0,00305185
0,54187600;-0,35554060
0,54315600;-0,71413310
0,54443600;-1,07272600
0,54571600;-1,43162300
0,54699600;-1,79021600
0,54827600;-2,14880800
0,54955600;-2,50740100
0,55083600;-2,86599300
0,55211600;-3,13486100
0,55339600;-3,40403500
0,55467600;-3,76262700
0,55595600;-4,12122000
0,55723600;-4,30066800
0,55851600;-4,56953600
0,55979600;-4,74868000
0,56107600;-5,01785300
0,56235600;-5,19699700
0,56363600;-5,37644600
0,56491600;-5,46617000
0,56619600;-5,64531400
0,56747600;-5,82476300
0,56875600;-5,91448700
0,57003600;-5,91448700
0,57131600;-6,00390600
0,57259600;-6,09363100
0,57387600;-6,09363100
0,57515600;-6,09363100
0,57643600;-6,00390600
0,57771600;-6,00390600
0,57899600;-5,91448700
0,58027600;-5,82476300
0,58155600;-5,73503800
0,58283600;-5,55589500
0,58411600;-5,46617000
0,58539600;-5,28672100
0,58667600;-5,10757800
0,58795600;-4,83840500
0,58923600;-4,65926100
0,59051600;-4,39008800
0,59179600;-4,12122000
0,59307600;-3,85235100
0,59435600;-3,67290300
0,59563600;-3,31431000
0,59691600;-3,04544200
0,59819600;-2,68685000
0,59947600;-2,32795200
0,60075600;-1,96935900
0,60203600;-1,70049100
0,60331600;-1,34189900
0,60459600;-0,98330630
0,60587600;-0,62471390
0,60715600;-0,26581620
0,60843600;0,09277627
0,60971600;0,45106360
0,61099600;0,80965610
0,61227600;1,07852400
0,61355600;1,43711700
0,61483600;1,79601400
0,61611600;2,06488200
0,61739600;2,42347500
0,61867600;2,69234300
0,61995600;3,05124100
0,62123600;3,32010900
0,62251600;3,58897700
0,62379600;3,94756900
0,62507600;4,12701800
0,62635600;4,39588600
0,62763600;4,66506000
0,62891600;4,84420300
0,63019600;4,93392800
0,63147600;5,20279600
0,63275600;5,29252000
0,63403600;5,38224400
0,63531600;5,56138800
0,63659600;5,65111300
0,63787600;5,74083700
0,63915600;5,74083700
0,64043600;5,74083700
0,64171600;5,74083700
0,64299600;5,74083700
0,64427600;5,74083700
0,64555600;5,74083700
0,64683600;5,65111300
0,64811600;5,56138800
0,64939600;5,47196900
0,65067600;5,29252000
0,65195600;5,20279600
0,65323600;4,93392800
0,65451600;4,75447800
0,65579600;4,66506000
0,65707600;4,30616200
0,65835600;4,12701800
0,65963600;3,94756900
0,66091600;3,67870100
0,66219600;3,40983300
0,66347600;3,05124100
0,66475600;2,78206700
0,66603600;2,51319900
0,66731600;2,15460700
0,66859600;1,88543400
0,66987600;1,52684100
0,67115600;1,25797300
0,67243600;0,89938040
0,67371600;0,54078800
0,67499600;0,18219550
0,67627600;-0,17639700
0,67755600;-0,44526510
0,67883600;-0,80385760
0,68011600;-1,16245000
0,68139600;-1,52104200
0,68267600;-1,79021600
0,68395600;-2,14880800
0,68523600;-2,41767600
