time	temp
0,004	25,14
0,309	25,12
0,606	25,18
0,917	25,21
1,216	25,17
1,514	25,13
1,825	25,12
2,122	25,18
2,421	25,21
2,718	25,17
3,030	25,13
3,327	25,12
3,627	25,15
3,923	25,19
4,236	25,18
4,533	25,12
4,831	25,12
5,143	25,16
5,440	25,20
5,738	25,19
6,035	25,12
6,349	25,10
6,646	25,15
6,942	25,18
7,242	25,18
7,552	25,15
7,850	25,10
8,148	25,15
8,460	25,19
8,758	25,19
9,055	25,15
9,367	25,10
9,665	25,15
9,961	25,18
10,259	25,18
10,571	25,12
10,871	25,10
11,167	25,16
11,479	25,20
11,777	25,18
12,074	25,12
12,385	25,12
12,683	25,15
12,981	25,19
13,294	25,18
13,591	25,12
13,889	25,12
14,200	25,17
14,499	25,20
14,795	25,17
15,107	25,11
15,405	25,12
15,703	25,16
16,000	25,20
16,311	25,18
16,609	25,11
16,907	25,10
17,205	25,17
17,518	25,20
17,816	25,18
18,112	25,14
18,424	25,10
18,722	25,17
19,019	25,20
19,332	25,17
19,629	25,11
19,927	25,15
20,238	25,19
20,536	25,20
20,834	25,17
21,132	25,10
21,444	25,11
21,741	25,18
22,037	25,20
22,350	25,17
22,649	25,11
22,945	25,13
23,258	25,19
23,555	25,20
23,854	25,15
24,165	25,10
24,462	25,16
24,760	25,19
25,058	25,19
25,370	25,16
25,667	25,11
25,965	25,13
26,276	25,20
26,574	25,20
26,871	25,17
27,169	25,11
27,481	25,14
27,781	25,20
28,077	25,18
28,388	25,14
28,687	25,10
28,984	25,16
29,296	25,20
29,594	25,20
29,891	25,12
30,204	25,11
30,501	25,16
30,798	25,20
31,111	25,19
31,408	25,13
31,707	25,11
32,004	25,16
32,315	25,20
32,612	25,20
32,910	25,16
33,223	25,11
33,520	25,15
33,818	25,20
34,114	25,19
34,428	25,17
34,726	25,11
35,024	25,13
35,336	25,20
35,631	25,20
35,930	25,16
36,241	25,10
36,539	25,15
36,839	25,21
37,149	25,20
37,447	25,14
37,743	25,12
38,042	25,16
38,353	25,20
38,651	25,21
38,948	25,18
39,247	25,11
39,558	25,13
39,856	25,19
40,154	25,20
40,466	25,15
40,763	25,12
41,075	25,16
41,373	25,21
41,670	25,21
41,968	25,14
42,281	25,11
42,578	25,15
42,876	25,21
43,188	25,20
43,485	25,15
43,781	25,13
44,094	25,15
44,393	25,21
44,690	25,21
44,988	25,14
45,299	25,12
45,597	25,13
45,895	25,18
46,207	25,21
46,504	25,17
46,802	25,12
47,100	25,15
47,412	25,19
47,709	25,21
48,007	25,20
48,304	25,12
48,616	25,12
48,914	25,17
49,211	25,20
49,509	25,19
49,821	25,16
50,118	25,12
50,416	25,15
50,729	25,21
51,026	25,19
51,326	25,15
51,637	25,12
51,935	25,17
52,230	25,20
52,529	25,19
52,840	25,17
53,138	25,12
53,437	25,15
53,748	25,21
54,045	25,20
54,341	25,16
54,653	25,11
54,952	25,15
55,250	25,20
55,547	25,20
55,859	25,17
56,158	25,12
56,456	25,13
56,752	25,21
57,064	25,21
57,362	25,18
57,661	25,14
57,972	25,12
58,269	25,20
58,566	25,21
58,879	25,17
59,177	25,12
59,475	25,17
59,786	25,20
60,083	25,21
60,380	25,19
60,678	25,13
60,991	25,13
61,288	25,20
61,587	25,20
61,898	25,17
62,195	25,13
62,493	25,13
62,806	25,20
63,103	25,21
63,400	25,19
63,698	25,12
64,009	25,14
64,307	25,19
64,605	25,21
64,918	25,17
65,215	25,13
65,513	25,16
65,824	25,19
66,122	25,21
66,420	25,18
66,733	25,13
67,029	25,14
67,328	25,18
67,623	25,20
67,937	25,19
68,233	25,13
68,531	25,14
68,843	25,19
69,141	25,21
69,439	25,19
69,751	25,13
70,049	25,14
70,345	25,18
70,643	25,21
70,955	25,20
71,255	25,14
71,550	25,12
71,850	25,19
72,160	25,21
72,458	25,20
72,756	25,16
73,067	25,12
73,366	25,17
73,663	25,21
73,960	25,20
74,273	25,17
74,570	25,12
74,869	25,15
75,179	25,21
75,477	25,20
75,775	25,18
76,073	25,12
76,384	25,16
76,682	25,21
76,979	25,20
77,291	25,17
77,590	25,12
77,887	25,17
78,198	25,21
78,497	25,20
78,794	25,16
79,107	25,12
79,406	25,18
79,702	25,21
79,999	25,19
80,311	25,14
80,607	25,12
80,906	25,19
81,218	25,21
81,516	25,19
81,826	25,13
82,124	25,14
82,422	25,18
82,720	25,21
83,033	25,19
83,330	25,14
83,627	25,14
83,940	25,19
84,238	25,21
84,535	25,19
84,832	25,13
85,143	25,12
85,443	25,20
85,740	25,24
86,037	25,19
86,349	25,15
86,648	25,10
86,944	25,16
87,256	25,24
87,554	25,22
87,852	25,16
88,149	25,11
88,461	25,15
88,758	25,24
89,058	25,24
89,354	25,14
89,666	25,11
89,964	25,14
90,261	25,20
90,559	25,24
90,871	25,20
91,168	25,11
91,466	25,14
91,778	25,22
92,076	25,25
92,372	25,21
92,672	25,10
92,983	25,15
93,280	25,20
93,578	25,25
93,890	25,21
94,188	25,11
94,486	25,16
94,798	25,23
95,095	25,26
95,393	25,21
95,704	25,12
96,002	25,16
96,301	25,24
96,611	25,28
96,910	25,19
97,207	25,15
97,505	25,19
97,817	25,26
98,114	25,30
98,412	25,19
98,723	25,16
99,022	25,19
99,319	25,26
99,618	25,31
99,929	25,26
100,226	25,20
100,538	25,21
100,836	25,30
101,134	25,34
101,431	25,24
101,743	25,20
102,041	25,24
102,338	25,32
102,651	25,36
102,947	25,29
103,247	25,25
103,543	25,27
103,856	25,35
104,153	25,37
104,465	25,29
104,762	25,25
105,060	25,29
105,357	25,42
105,669	25,41
105,967	25,32
106,264	25,28
106,562	25,33
106,874	25,42
107,172	25,42
107,483	25,34
107,782	25,30
108,078	25,36
108,390	25,46
108,688	25,42
108,986	25,36
109,283	25,33
109,596	25,38
109,893	25,48
110,192	25,48
110,488	25,36
110,800	25,33
111,099	25,39
111,396	25,46
111,707	25,48
112,006	25,39
112,304	25,35
112,601	25,44
112,912	25,50
113,211	25,50
113,507	25,41
113,819	25,36
114,117	25,44
114,414	25,52
114,727	25,51
115,024	25,43
115,323	25,40
115,621	25,51
115,932	25,57
116,229	25,53
116,528	25,42
116,839	25,42
117,136	25,52
117,435	25,56
117,747	25,53
118,043	25,44
118,340	25,46
118,654	25,56
118,950	25,59
119,249	25,55
119,546	25,44
119,857	25,51
120,155	25,58
120,453	25,60
120,765	25,54
121,063	25,50
121,377	25,57
121,672	25,63
121,970	25,62
122,268	25,50
122,579	25,49
122,877	25,58
123,175	25,63
123,487	25,63
123,784	25,54
124,082	25,51
124,380	25,62
124,691	25,67
124,988	25,63
125,301	25,54
125,600	25,56
125,897	25,63
126,195	25,69
126,506	25,66
126,804	25,57
127,102	25,55
127,399	25,67
127,711	25,71
128,009	25,68
128,305	25,62
128,617	25,57
128,915	25,67
129,213	25,72
129,511	25,69
129,822	25,60
130,122	25,59
130,419	25,71
130,731	25,76
131,028	25,71
131,327	25,65
131,638	25,62
131,936	25,74
132,234	25,75
132,546	25,70
132,842	25,62
133,139	25,62
133,437	25,76
133,750	25,77
134,047	25,73
134,345	25,66
134,658	25,66
134,954	25,78
135,252	25,81
135,549	25,72
135,862	25,65
136,159	25,68
136,455	25,82
136,768	25,81
137,066	25,75
137,364	25,68
137,676	25,73
137,974	25,84
138,271	25,80
138,583	25,74
138,881	25,70
139,178	25,78
139,490	25,86
139,788	25,81
140,086	25,76
140,383	25,74
140,696	25,86
140,993	25,88
141,290	25,80
141,602	25,75
141,900	25,79
142,212	25,90
142,509	25,89
142,808	25,82
143,105	25,76
143,416	25,80
143,714	25,91
144,013	25,93
144,309	25,82
144,621	25,78
144,918	25,82
145,217	25,88
145,514	25,92
145,826	25,89
146,124	25,80
146,421	25,79
146,719	25,92
147,031	25,94
147,328	25,91
147,626	25,81
147,938	25,82
148,236	25,94
148,533	25,96
148,846	25,91
149,144	25,83
149,441	25,84
149,738	25,99
150,050	25,99
150,348	25,90
150,660	25,85
150,958	25,93
151,256	25,99
151,552	25,99
151,865	25,94
152,163	25,86
152,460	25,89
152,757	26,02
153,069	26,01
153,369	25,97
153,664	25,89
153,978	25,95
154,275	26,03
154,572	26,01
154,885	25,93
155,181	25,90
155,480	26,00
155,790	26,06
156,089	26,05
156,386	25,93
156,698	25,93
156,996	26,01
157,295	26,09
157,590	26,08
157,904	26,04
158,201	25,96
158,498	26,07
158,810	26,12
159,108	26,10
159,405	26,05
159,717	25,97
160,016	26,06
160,314	26,12
160,611	26,11
160,922	26,05
161,220	25,99
161,517	26,06
161,829	26,14
162,129	26,14
162,425	26,08
162,736	26,00
163,034	26,08
163,333	26,14
163,630	26,15
163,942	26,11
164,239	26,02
164,537	26,09
164,849	26,17
165,147	26,18
165,444	26,12
165,756	26,04
166,054	26,11
166,351	26,17
166,649	26,19
166,961	26,13
167,258	26,07
167,555	26,14
167,867	26,19
168,166	26,22
168,463	26,16
168,775	26,08
169,073	26,13
169,370	26,21
169,682	26,23
169,979	26,15
170,276	26,11
170,576	26,17
170,887	26,25
171,184	26,27
171,483	26,22
171,795	26,14
172,092	26,17
172,390	26,23
172,689	26,28
173,000	26,26
173,297	26,16
173,595	26,19
173,907	26,27
174,204	26,31
174,502	26,20
174,814	26,16
175,112	26,19
175,409	26,26
175,707	26,32
176,018	26,29
176,315	26,19
176,615	26,16
176,912	26,28
177,223	26,34
177,521	26,32
177,817	26,22
178,130	26,20
178,428	26,29
178,726	26,35
179,023	26,34
179,336	26,28
179,632	26,23
179,931	26,33
180,242	26,38
180,540	26,37
180,838	26,33
181,135	26,24
181,448	26,26
181,744	26,38
182,043	26,40
182,354	26,33
182,654	26,26
182,949	26,27
183,247	26,41
183,559	26,43
183,857	26,39
184,155	26,32
184,466	26,31
184,764	26,43
185,062	26,45
185,360	26,39
185,672	26,33
185,970	26,35
186,281	26,45
186,579	26,47
186,875	26,43
187,174	26,34
187,486	26,34
187,784	26,47
188,081	26,49
188,393	26,45
188,691	26,35
188,988	26,35
189,285	26,49
189,598	26,51
189,896	26,48
190,194	26,42
190,504	26,38
190,802	26,49
191,101	26,53
191,397	26,49
191,710	26,45
192,007	26,40
192,307	26,52
192,617	26,55
192,914	26,52
193,213	26,41
193,524	26,43
193,822	26,51
194,119	26,57
194,431	26,49
194,728	26,44
195,028	26,48
195,338	26,56
195,636	26,58
195,934	26,48
196,246	26,45
196,544	26,47
196,841	26,54
197,138	26,59
197,451	26,53
197,747	26,47
198,046	26,50
198,358	26,61
198,657	26,62
198,954	26,52
199,264	26,48
199,563	26,52
199,860	26,64
200,173	26,61
200,471	26,57
200,767	26,50
201,080	26,59
201,377	26,66
201,675	26,64
201,986	26,57
202,285	26,52
202,581	26,56
202,880	26,69
203,192	26,69
203,489	26,60
203,786	26,55
204,098	26,63
204,396	26,70
204,694	26,64
205,007	26,60
205,303	26,55
205,600	26,69
205,912	26,71
206,211	26,67
206,508	26,57
206,821	26,61
207,117	26,69
207,415	26,73
207,727	26,69
208,025	26,61
208,322	26,60
208,620	26,74
208,932	26,75
209,230	26,72
209,528	26,61
209,839	26,65
210,137	26,74
210,435	26,76
210,746	26,73
211,044	26,63
211,342	26,63
211,639	26,77
211,951	26,80
212,249	26,75
212,545	26,68
212,858	26,65
213,157	26,77
213,454	26,81
213,752	26,76
214,063	26,69
214,362	26,67
214,659	26,80
214,971	26,83
215,269	26,80
215,566	26,73
215,878	26,71
216,176	26,79
216,474	26,86
216,771	26,81
217,082	26,76
217,380	26,73
217,678	26,76
217,975	26,89
218,287	26,85
218,585	26,79
218,883	26,75
219,193	26,78
219,493	26,89
219,790	26,88
220,101	26,81
220,399	26,76
220,697	26,79
220,995	26,92
221,306	26,91
221,604	26,83
221,902	26,79
222,199	26,83
222,511	26,89
222,809	26,94
223,107	26,92
223,405	26,79
223,717	26,80
224,013	26,88
224,311	26,94
224,624	26,89
224,921	26,82
225,218	26,86
225,531	26,93
225,827	26,98
226,125	26,95
226,424	26,83
226,737	26,83
227,033	26,93
227,332	26,98
227,628	26,95
227,940	26,88
228,238	26,84
228,536	26,97
228,847	27,01
229,145	26,91
229,456	26,87
229,756	26,91
230,052	26,97
230,348	27,00
230,661	26,97
230,960	26,89
231,257	26,94
231,570	27,00
231,867	27,04
232,164	26,97
232,476	26,89
232,774	26,96
233,071	27,03
233,384	27,05
233,680	26,96
233,977	26,92
234,276	26,99
234,588	27,06
234,885	27,07
235,182	27,00
235,495	26,93
235,793	26,99
236,091	27,07
236,404	27,08
236,701	27,01
236,998	26,95
237,296	27,04
237,607	27,10
237,905	27,10
238,202	27,00
238,514	26,96
238,813	27,04
239,110	27,10
239,421	27,10
239,719	27,01
240,017	26,98
240,315	27,07
240,626	27,14
240,925	27,14
241,223	27,01
241,534	27,01
241,832	27,07
242,129	27,16
242,441	27,09
242,737	27,06
243,037	27,05
243,348	27,10
243,646	27,18
243,943	27,14
244,257	27,06
244,553	27,04
244,851	27,09
245,149	27,20
245,460	27,16
245,759	27,09
246,056	27,08
246,370	27,14
246,665	27,23
246,962	27,22
247,259	27,11
247,572	27,09
247,871	27,14
248,168	27,21
248,466	27,24
248,776	27,17
249,074	27,13
249,386	27,18
249,684	27,27
249,983	27,24
250,293	27,15
250,592	27,12
250,889	27,18
251,188	27,28
251,498	27,25
251,796	27,17
252,093	27,16
252,406	27,28
252,703	27,30
253,001	27,25
253,313	27,18
253,610	27,17
253,909	27,31
254,220	27,33
254,519	27,26
254,816	27,22
255,114	27,21
255,425	27,27
255,724	27,35
256,020	27,27
256,333	27,22
256,630	27,21
256,928	27,31
257,239	27,36
257,537	27,29
257,836	27,25
258,132	27,24
258,444	27,32
258,741	27,37
259,040	27,29
259,352	27,25
259,649	27,24
259,947	27,29
260,244	27,40
260,556	27,36
260,855	27,28
261,152	27,28
261,463	27,34
261,761	27,42
262,059	27,40
262,357	27,29
262,669	27,27
262,966	27,34
263,263	27,41
263,576	27,41
263,873	27,32
264,171	27,29
264,469	27,38
264,781	27,44
265,079	27,45
265,375	27,39
265,687	27,31
265,985	27,39
266,283	27,45
266,580	27,46
266,892	27,40
267,191	27,36
267,502	27,43
267,800	27,51
268,097	27,49
268,395	27,38
268,706	27,35
269,004	27,43
269,303	27,48
269,614	27,48
269,912	27,39
270,209	27,37
270,507	27,46
270,819	27,53
271,116	27,51
271,415	27,40
271,725	27,40
272,023	27,47
272,322	27,56
272,634	27,48
272,931	27,43
273,229	27,44
273,541	27,50
273,839	27,56
274,136	27,52
274,449	27,43
274,745	27,45
275,043	27,52
275,354	27,58
275,652	27,50
275,951	27,46
276,262	27,48
276,560	27,60
276,856	27,61
277,156	27,53
277,467	27,48
277,765	27,50
278,062	27,63
278,372	27,64
278,673	27,56
278,969	27,49
279,281	27,54
279,578	27,64
279,876	27,66
280,174	27,56
280,485	27,52
280,783	27,53
281,081	27,59
281,378	27,67
281,691	27,64
281,988	27,55
282,285	27,56
282,598	27,65
282,896	27,69
283,192	27,60
283,505	27,54
283,804	27,55
284,101	27,69
284,413	27,70
284,710	27,63
285,007	27,58
285,305	27,58
285,618	27,63
285,916	27,71
286,212	27,63
286,525	27,57
286,822	27,57
287,120	27,68
287,431	27,72
287,729	27,66
288,028	27,61
288,326	27,61
288,637	27,73
288,934	27,75
289,232	27,66
289,543	27,62
289,841	27,62
290,138	27,68
290,436	27,77
290,748	27,72
291,046	27,65
291,345	27,65
291,655	27,71
291,953	27,79
292,251	27,78
292,548	27,66
292,861	27,64
293,159	27,72
293,456	27,79
293,768	27,79
294,065	27,70
294,363	27,67
294,660	27,76
294,972	27,82
295,270	27,82
295,568	27,70
295,880	27,70
296,178	27,78
296,474	27,85
296,786	27,79
297,086	27,72
297,383	27,75
297,696	27,83
297,991	27,87
298,288	27,81
298,601	27,73
298,898	27,76
299,196	27,89
299,509	27,85
299,806	27,78
300,118	27,75
300,416	27,87
300,713	27,88
301,025	27,83
301,324	27,75
301,620	27,76
301,918	27,89
302,230	27,90
302,528	27,85
302,825	27,75
303,137	27,83
303,434	27,91
303,747	27,90
304,044	27,81
304,342	27,78
304,639	27,88
304,952	27,94
305,249	27,93
305,547	27,90
305,846	27,81
306,157	27,88
306,453	27,96
306,752	27,95
307,064	27,90
307,361	27,84
307,659	27,86
307,956	28,01
308,267	28,02
308,567	27,94
